Node	literature	paradigm	paradigm_tf	activity	abundance	cl_tf_activity
AKT_f	1	1	1			
Antisurvival	0	0	0			
BAX	0	0	0		0	
BCL2	1	0	0		0	
CASP3	0	0	0	-1	-1	
CASP8	0	1	1		-1	
CCND1	1	0	1		0	
CTNNB1	1	1	0	1	1	
ERK_f	1	0	1			
GSK3_f	0	0	0			
JNK_f	0	1	1			
KRAS	1	0	0		-1	
MAPK14	0	0	0	1	0	
MMP_f	1	0	1			
MYC	1	0	0	0	-1	10.1906564272363
NFKB_f	1	1	0			
PIK3CA	1	0	0		0	
Prosurvival	1	0	1			
PTEN	0	1	1		1	
RAC_f	1	1	0			
S6K_f	1	0	0			
TCF7_f	1	1	0			
TP53	0	0	0		0	0.74550204843572
ACVR1		1	0			
AKT1		1	1	1	1	
AKT2		0	1		1	
AKT3		1	0		1	
AKT1S1		0	0	-1	-1	
JUN		0	0	0	-1	-2.67656170235865
FOS		1	0			-2.64022153352917
ATF2		0	0			-0.200123845958336
SMAD3		0	1	-1	0	-0.124038092772087
SMAD4		0	0		0	0.52223514036302
ARHGAP24		0	0			
AXIN1		0	0			
BAD		0	0	0		
BMPR2		1	0			
BTRC		0	0			
CASP9		0	0	-1	-1	
CREBBP		0	0			
EP300		1	0			
CDC42		0	0			
CDKN1A		0	0		1	
CFL1		1	1		-1	
CFL2		0	0			
CFLAR		0	0			
CHUK		1	1			
CSNK1A1		0	0			
CSNK1D		0	0			
CSNK1E		0	0			
CREB1		0	0		-1	-2.07396469434797
CSK		0	0			
CTBBV1		0	0			
CYCS		0	0			
DAAM1		1	1			
DKK1		0	0			
DKK2		0	0			
DKK3		0	0			
DKK4		0	0			
DUSP1		1	1			
DUSP6		0	0			
DVL1		0	0			
DVL2		0	0			
DVL3		1	1		0	
EGR1		0	0			0.260033625649261
MAPK3		0	0			
MAPK1		0	0	0	-1	
FOXO1		0	0			-1.43869594142179
FOXO3		1	0	0	0	0.467605335111951
FOXO4		0	0			
FZD1		0	0			
FZD2		0	0			
FZD3		0	0			
FZD4		0	0			
FZD5		0	0			
FZD6		0	0			
FZD7		0	0			
FZD8		0	0			
FZD9		0	0			
FZD10		0	0			
GAB1		0	0			
GAB2		0	0		1	
GRAP2		0	0			
CRB2		0	0			
GSK3A		0	0	0	0	
GSK3B		0	0		0	
IKBKB		1	1			
ILK		0	0			
LIFR		0	0			
IL6ST		0	0			
IL6R		0	0			
IRAK1		1	1			
IRS1		0	0		-1	
STAT1		0	0	-1		-0.645552353557477
STAT2		0	0			
ITCH		1	1			
JAK1		0	0			
JAK2		0	0		-1	
MAPK8		1	0	0		
MAPK9		0	0		0	
LEF1		0	0			-1.49798490027623
LIF		1	1			
LIMK1		1	0			
LIMK2		1	0			
LRP5		0	0			
LRP6		0	0			
MAP2K3		0	0			
MAP2K4		0	0			
MAP2K7		0	0			
MAP3K11		0	0			
MAP3K4		0	0			
MAP3K5		0	0			
MAP3K7		0	0			
MAP3K8		1	1			
MAPK8IP3		0	0			
MAPKAPK2		0	0			
MDM2		1	0	0	-1	
MAP2K1		0	0	0	1	
MAP2K2		0	0		0	
MMP2		0	0		-1	
MMP7		0	0			
MMP9		0	0			
RPS6KA4		0	0			
RPS6KA5		0	0			
MTOR		0	0	1	1	
RPTOR		1	0		0	
MLST8		0	0			
RICTOR		0	0	0	1	
NFKB1		0	0			-3.01067521156397
NFKB2		0	0			
NLK		0	0			
PAK1		0	0			
PARD6A		1	1			
PDPK1		0	0	1	1	
PIAS1		0	0			
PLCG1		0	0			
PLK1		0	0		-1	
PPM1A		0	0			
PPP1CA		1	0			
PRKACA		0	0			
PRKCA		0	0	0	0	
PRKCD		0	0	0		
PTPN11		0	0	-1		
PTPN6		0	0			
RAC1		0	0			
RAC2		0	0			
RAC3		0	0			
ARAF		0	1	-1	1	
BRAF		0	1	-1		
RAF1		0	0	0	0	
RELA		0	0	0		-2.68881871104553
RELB		0	0			
REL		0	0			-2.4373684279637
RHEB		0	0		-1	
RHOA		0	1			
RND3		1	0			
ROCK1		1	0		-1	
RPS6		0	0	0	-1	
RPS6KA1		1	0	-1	-1	
RPS6KA2		0	0			
RPS6KA3		0	0			
EGFR		1	0	-1	0	
ERBB2		0	0	0	0	
ERBB3		1	0	0	1	
ERBB4		0	0			
IGF1R		0	0	-1		
PDGFRA		0	0			
PDGFRB		1	0		0	
CSF1R		0	0			
KIT		0	0		0	
FLT3		1	1		0	
FGFR1		0	0			
FGFR2		0	0			
FGFR3		0	0			
FGFR4		0	0			
FLT1		0	0			
FLT4		0	0			
KDR		0	1		1	
MET		1	0		0	
RPS6KB1		0	0	0	-1	
RPS6KB2		0	0			
SFRP1		0	0			
SHC1		0	0	0		
SKI		0	1			
SKP2		0	0			
SMAD1		0	0		0	
SMAD2		1	0			
SMAD5		1	0			
SMAD6		0	0			
SMAD7		0	0			
SMURF1		0	0			
SMURF2		0	0			
SOCS1		0	0			
SOS1		0	0			
SRC		0	0	-1	1	
SRF		0	1			
STAT3		0	1	0	-1	-0.723277953474873
SYK		0	0		1	
TAB1		0	0			
TAB2		0	0			
TCF7		0	0			
TCF7L1		0	0			
TCF7L2		0	0			
TGFB1		1	0			
TGFBR1		1	1			
TGFBR2		1	1			
TIAM1		0	1			
TRAF6		1	1			
TSC1		0	0		1	
TSC2		0	0	-1	1	
VAV1		0	0			
DKK		1	1			
RTPK		1	1			
GRB2		0	0			
AP1_c		0	0			
CBPp300_c		0	0			
CFL_f		1	0			
CK1_f		0	0			
DKK_f		0	0			
DVL_f		0	0			
FOXO_f		1	1			
FZD_f		0	0			
GAB_f		0	1			
ILR_f		1	1			
ISGF3_c		0	0			
JAK_f		0	0			
LRP_f		0	1			
MEK_f		0	1			
MSK_f		0	1			
mTORC1_c		1	1			
mTORC2_c		0	0			
RAF_f		1	1			
REL_f		0	1			
RSK_f		1	1			
RTPK_f		0	0			
TAB_f		1	1			
TSC_f		0	1			
SMAD3__0		1	1			
SMAD3__1		1	0			
SMAD4__0		1	1			
SMAD4__1		0	0			
SMAD1__0		1	0			
SMAD1__1		1	1			
SMAD2__0		1	0			
SMAD2__1		1	0			
STAT3__0		0	0			
STAT3__1		1	1			
FZD_f__0		0	0			
FZD_f__1		0	0			
GSK3_f__0		0	0			
GSK3_f__1		0	0			
RAC_f__0		1	0			
RAC_f__1		1	0			
RTPK_f__0		0	0			
RTPK_f__1		0	0			
RTPK_f__2		0	0			
