models_fitness	models_synergies_tp	models_synergies_fp	models_synergies_tn	models_synergies_fn	models_sensitivity	models_specificity	models_precision	models_fpr
topology.sif_run_327__G19_M0.gitsbe	0.6567164	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_11__G19_M0.gitsbe	0.67164177	6	4	132	11	0.352941176470588	0.970588235294118	0.6	0.0294117647058824
topology.sif_run_230__G19_M4.gitsbe	0.64179105	2	8	128	15	0.117647058823529	0.941176470588235	0.2	0.0588235294117647
topology.sif_run_270__G19_M1.gitsbe	0.6268657	2	7	129	15	0.117647058823529	0.948529411764706	0.222222222222222	0.0514705882352941
topology.sif_run_42__G19_M9.gitsbe	0.6044776	1	2	134	16	0.0588235294117647	0.985294117647059	0.333333333333333	0.0147058823529412
topology.sif_run_143__G19_M2.gitsbe	0.6268657	2	8	128	15	0.117647058823529	0.941176470588235	0.2	0.0588235294117647
topology.sif_run_322__G19_M3.gitsbe	0.6492537	2	8	128	15	0.117647058823529	0.941176470588235	0.2	0.0588235294117647
topology.sif_run_496__G19_M3.gitsbe	0.6492537	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_325__G19_M11.gitsbe	0.63432837	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_147__G19_M2.gitsbe	0.6791045	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_483__G19_M3.gitsbe	0.64179105	2	8	128	15	0.117647058823529	0.941176470588235	0.2	0.0588235294117647
topology.sif_run_321__G19_M3.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_407__G19_M3.gitsbe	0.619403	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_281__G19_M2.gitsbe	0.619403	4	10	126	13	0.235294117647059	0.926470588235294	0.285714285714286	0.0735294117647059
topology.sif_run_269__G19_M0.gitsbe	0.67164177	6	6	130	11	0.352941176470588	0.955882352941177	0.5	0.0441176470588235
topology.sif_run_167__G19_M0.gitsbe	0.619403	4	1	135	13	0.235294117647059	0.992647058823529	0.8	0.00735294117647059
topology.sif_run_443__G19_M9.gitsbe	0.6492537	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_41__G19_M1.gitsbe	0.63432837	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_423__G19_M10.gitsbe	0.6268657	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_426__G19_M0.gitsbe	0.6567164	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_113__G19_M0.gitsbe	0.64179105	2	7	129	15	0.117647058823529	0.948529411764706	0.222222222222222	0.0514705882352941
topology.sif_run_361__G19_M3.gitsbe	0.64179105	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_313__G19_M1.gitsbe	0.6268657	2	9	127	15	0.117647058823529	0.933823529411765	0.181818181818182	0.0661764705882353
topology.sif_run_26__G19_M0.gitsbe	0.63432837	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_445__G19_M1.gitsbe	0.6567164	1	1	135	16	0.0588235294117647	0.992647058823529	0.5	0.00735294117647059
topology.sif_run_309__G19_M1.gitsbe	0.63432837	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_450__G19_M1.gitsbe	0.64179105	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_38__G19_M2.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_79__G19_M1.gitsbe	0.6268657	2	2	134	15	0.117647058823529	0.985294117647059	0.5	0.0147058823529412
